Date,AAPL,AMZN,GOOGL,MSFT
2017-12-15,173.970001,1179.140015,1072.0,86.849998
2017-12-14,172.220001,1174.26001,1057.469971,84.690002
2017-12-13,172.270004,1164.130005,1051.390015,85.349998
2017-12-12,171.699997,1165.079956,1048.77002,85.58000200000001
2017-12-11,172.669998,1168.920044,1051.969971,85.230003
2017-12-08,169.369995,1162.0,1049.380005,84.160004
2017-12-07,169.320007,1159.790039,1044.569946,82.489998
2017-12-06,169.009995,1152.349976,1032.719971,82.779999
2017-12-05,169.639999,1141.569946,1019.599976,81.589996
2017-12-04,169.800003,1133.949951,1011.8699949999999,81.08000200000001
2017-12-01,171.050003,1162.349976,1025.069946,84.260002
2017-11-30,171.850006,1176.75,1036.170044,84.16999799999999
2017-11-29,169.479996,1161.27002,1037.380005,83.339996
2017-11-28,173.070007,1193.599976,1063.290039,84.879997
2017-11-27,174.08999599999999,1195.829956,1072.01001,83.870003
2017-11-24,174.970001,1186.0,1056.52002,83.260002
2017-11-22,174.96000700000002,1156.160034,1051.920044,83.110001
2017-11-21,173.139999,1139.48999,1050.300049,83.720001
2017-11-20,169.979996,1126.310059,1034.660034,82.529999
2017-11-17,170.149994,1129.880005,1035.890015,82.400002
2017-11-16,171.100006,1137.290039,1048.469971,83.199997
2017-11-15,169.080002,1126.689941,1036.410034,82.980003
2017-11-14,171.33999599999999,1136.839966,1041.640015,83.63000500000001
2017-11-13,173.970001,1129.170044,1041.199951,83.510597
2017-11-10,174.669998,1125.349976,1044.150024,83.450905
2017-11-09,175.25,1129.130005,1047.719971,83.6698
2017-11-08,175.608719,1132.880005,1058.290039,84.137451
2017-11-07,174.183823,1123.170044,1052.390015,83.8489
2017-11-06,173.62583899999998,1120.660034,1042.680054,84.047905
2017-11-03,171.882111,1111.599976,1049.98999,83.719551
2017-11-02,167.507828,1094.219971,1042.969971,83.63000500000001
2017-11-01,166.292206,1103.680054,1042.599976,82.764351
2017-10-31,168.434494,1105.280029,1033.040039,82.764351
2017-10-30,166.122803,1110.849976,1033.130005,83.470802
2017-10-27,162.465958,1100.949951,1033.670044,83.39119699999999
2017-10-26,156.84616100000002,972.429993,991.419983,78.36644
2017-10-25,155.849747,972.909973,991.4600220000001,78.237083
2017-10-24,156.537277,975.900024,988.48999,78.465935
2017-10-23,155.610596,966.2999880000001,985.5399779999999,78.436089
2017-10-20,155.69030800000002,982.909973,1005.070007,78.41618299999999
2017-10-19,155.42128,986.6099849999999,1001.840027,77.52068299999999
2017-10-18,159.187729,997.0,1012.73999,77.222183
2017-10-17,159.895203,1009.1300050000001,1011.0,77.202278
2017-10-16,159.30731200000002,1006.340027,1009.349976,77.261986
2017-10-13,156.427673,1002.9400019999999,1007.8699949999999,77.102776
2017-10-12,155.44120800000002,1000.929993,1005.650024,76.734634
2017-10-11,155.989243,995.0,1005.650024,76.038124
2017-10-10,155.341553,987.2000119999999,987.7999880000001,75.908775
2017-10-09,155.28178400000002,990.98999,992.3099980000001,75.908775
2017-10-06,154.74371299999999,989.580017,993.6400150000001,75.620224
2017-10-05,154.83338899999998,980.849976,985.1900019999999,75.590378
2017-10-04,152.930237,965.4500119999999,966.7800289999999,74.316772
2017-10-03,153.926651,957.099976,972.080017,73.888924
2017-10-02,153.259048,959.1900019999999,967.4699710000001,74.237175
2017-09-29,153.567932,961.349976,973.7199710000001,74.117767
2017-09-28,152.73095700000002,956.400024,964.8099980000001,73.50086999999999
2017-09-27,153.677551,950.8699949999999,959.900024,73.480972
2017-09-26,152.591446,938.599976,937.429993,72.89392099999999
2017-09-25,150.010727,939.7899779999999,934.2800289999999,72.89392099999999
2017-09-22,151.345932,955.099976,943.26001,74.038177
2017-09-21,152.840561,964.650024,947.5499880000001,73.83917199999999
2017-09-20,155.51097099999998,973.2100220000001,947.5399779999999,74.565529
2017-09-19,158.16142299999998,969.8599849999999,936.8599849999999,75.06302600000001
2017-09-18,158.10163899999998,974.1900019999999,929.75,74.78443100000001
2017-09-15,159.30731200000002,986.7899779999999,935.2899779999999,74.93366999999999
2017-09-14,157.713043,992.2100220000001,940.1300050000001,74.39636999999999
2017-09-13,159.078125,999.599976,950.4400019999999,74.834175
2017-09-12,160.283798,982.580017,946.650024,74.306824
2017-09-11,160.92150900000001,977.9600220000001,943.2899779999999,74.386429
2017-09-08,158.061798,965.900024,941.409973,73.610321
2017-09-07,160.682358,979.4699710000001,949.8900150000001,73.968521
2017-09-06,161.330048,967.7999880000001,942.0200199999999,73.033218
2017-09-05,161.499435,965.2700199999999,941.4799800000001,73.242172
2017-09-01,163.462372,978.25,951.98999,73.570526
2017-08-31,163.412552,980.599976,955.23999,74.39636999999999
2017-08-30,162.764893,967.590027,943.6300050000001,73.640175
2017-08-29,162.32646200000002,954.0599980000001,935.75,72.684975
2017-08-28,160.891617,946.0200199999999,928.1300050000001,72.466072
2017-08-25,159.287384,945.26001,930.5,72.45611600000001
2017-08-24,158.699493,952.4500119999999,936.8900150000001,72.326767
2017-08-23,159.406952,958.0,942.580017,72.35662099999999
2017-08-22,159.207672,966.900024,940.400024,72.79441800000001
2017-08-21,156.646881,953.2899779999999,920.8699949999999,71.789467
2017-08-18,156.93583700000002,958.4699710000001,926.179993,72.127762
2017-08-17,157.29453999999998,960.570007,927.659973,72.038216
2017-08-16,160.373474,978.179993,944.2700199999999,73.281975
2017-08-15,161.021149,982.73999,938.080017,72.854118
2017-08-14,159.27742,983.2999880000001,938.929993,72.834213
2017-08-11,156.915909,967.98999,930.090027,71.755409
2017-08-10,154.763657,956.919983,923.590027,70.676613
