Date,Open,High,Low,Close,Adj Close,Volume,MA für 10 days,MA für 20 days,MA für 50 days,Daily Return
2016-12-15,115.379997,116.730003,115.230003,115.82,113.986984,46524500,,,,
2016-12-16,116.470001,116.5,115.650002,115.970001,114.13460500000001,44351100,,,,0.001295068917693376
2016-12-19,115.800003,117.379997,115.75,116.639999,114.793999,27779400,,,,0.005777336330204053
2016-12-20,116.739998,117.5,116.68,116.949997,115.099098,21425000,,,,0.0026577957267608365
2016-12-21,116.800003,117.400002,116.779999,117.059998,115.20735900000001,23783200,,,,0.0009405894736032039
2016-12-22,116.349998,116.510002,115.639999,116.290001,114.449547,26085900,,,,-0.006577808974859156
2016-12-23,115.589996,116.519997,115.589996,116.519997,114.675896,14181200,,,,0.001977718618667801
2016-12-27,116.519997,117.800003,116.489998,117.260002,115.40418999999999,18296900,,,,0.006350889989994002
2016-12-28,117.519997,118.019997,116.199997,116.760002,114.91210900000002,20905900,,,,-0.004263978630238419
2016-12-29,116.449997,117.110001,116.400002,116.730003,114.88258400000001,15039500,114.7546371,,,-0.00025693549841654395
2016-12-30,116.650002,117.199997,115.43,115.82,113.986984,30586300,114.7546371,,,-0.007795785651896536
2017-01-03,115.800003,116.33000200000001,114.760002,116.150002,114.31176,28781900,114.7723526,,,0.0028492375936537417
2017-01-04,115.849998,116.510002,115.75,116.019997,114.183815,21118100,114.71133420000001,,,-0.0011192636698097447
2017-01-05,115.91999799999999,116.860001,115.809998,116.610001,114.764473,22193600,114.67787170000001,,,0.00508529164137661
2017-01-06,116.779999,118.160004,116.470001,117.910004,116.04391499999998,31751900,114.76152730000001,,,0.011148415241709841
2017-01-09,117.949997,119.43,117.940002,118.989998,117.106812,33561900,115.02725380000001,,,0.009159437614630894
2017-01-10,118.769997,119.379997,118.300003,119.110001,117.224907,24462100,115.28215490000002,,,0.0010084383477195757
2017-01-11,118.739998,119.93,118.599998,119.75,117.854782,27588600,115.52721410000001,,,0.005373218167705529
2017-01-12,118.900002,119.300003,118.209999,119.25,117.36269399999999,27086200,115.7722726,,,-0.004175375760315014
2017-01-13,119.110001,119.620003,118.809998,119.040001,117.156021,26111900,115.9996163,115.37712669999999,,-0.0017609769591689917
2017-01-17,118.339996,120.239998,118.220001,120.0,118.100822,34439800,116.4110001,115.58281859999997,,0.00806446815055284
2017-01-18,120.0,120.5,119.709999,119.989998,118.090981,23713000,116.7889222,115.78063739999996,,-8.332710842595681e-05
2017-01-19,119.400002,120.089996,119.370003,119.779999,117.8843,25597300,117.15897069999998,115.93515244999996,,-0.0017501844615890327
2017-01-20,120.449997,120.449997,119.730003,120.0,118.100822,32597900,117.4926056,116.08523864999995,,0.0018367331357949102
2017-01-23,120.0,120.809998,119.769997,120.08000200000001,118.17955800000001,22050200,117.7061699,116.23384859999994,,0.0006666846061411658
